simulation,opt_N,opt_f,opt_t,opt_x,opt_g1,opt_g2,opt_g3,n_feasible
226,11000.0,50.0,5.0,0.0,2246060.9423936773,0.6088842693876007,0.9476892283207224,12384
227,11000.0,50.0,9.0,0.30000000000000004,2574531.5322431056,0.6001696504293623,0.9683613893902521,11106
228,11000.0,50.0,8.0,0.0,2831506.2190413736,0.6184295602865644,0.9485730887205459,11304
229,11000.0,50.0,11.0,0.0,2389565.039782235,0.6015102643727229,0.9497659079163991,10983
230,11000.0,50.0,5.0,0.0,2462651.463766803,0.6096125547244797,0.9475221216288804,12474
231,11000.0,50.0,6.0,0.0,1909638.0711432353,0.6032076256176897,0.9434906548511353,12204
232,11000.0,50.0,11.0,0.30000000000000004,2591921.30453962,0.6001380105079499,0.9657908138694677,10691
233,11000.0,50.0,9.0,0.30000000000000004,2436517.4754709075,0.6001216068371983,0.9672808780601359,11191
234,11000.0,50.0,12.0,0.1,2584223.6257589245,0.6000157201513805,0.9540265635912456,10547
235,11000.0,50.0,4.0,0.0,1984882.2294995221,0.6044385061717944,0.942849563993329,13284
236,11000.0,50.0,7.0,0.0,2552600.4014261398,0.6143250438663116,0.9503261811477638,11694
237,11000.0,50.0,9.0,0.30000000000000004,2361299.3618651703,0.600131200133956,0.9670411718674162,11257
238,11000.0,50.0,9.0,0.0,2654389.6865123133,0.6013587761501218,0.9499911102554015,11445
239,11000.0,50.0,9.0,0.30000000000000004,2685024.2105399165,0.6001384400700899,0.9677248637249031,11190
240,11000.0,50.0,10.0,0.0,2359779.762640135,0.6001115486988883,0.9489013909413809,11109
241,11000.0,50.0,15.0,0.30000000000000004,2087756.8920030836,0.6001702395655377,0.9650631552699362,10096
242,11000.0,50.0,8.0,0.0,2217909.149975002,0.6193596159372357,0.9441895359056792,12024
243,11000.0,50.0,10.0,0.0,2536516.06504782,0.6166864498150638,0.9378360038846677,10854
244,11000.0,50.0,9.0,0.30000000000000004,2147174.9346274734,0.6001192542253542,0.9679359834159106,11220
245,11000.0,50.0,9.0,0.0,2102942.406407985,0.6016215120161075,0.9492208701815684,11214
246,11000.0,50.0,6.0,0.0,2877859.146184575,0.6131569596896318,0.9490473062361705,12204
247,11000.0,50.0,10.0,0.30000000000000004,2632287.634279175,0.6001641655015058,0.9676698291192186,11106
248,11000.0,50.0,12.0,0.30000000000000004,2970135.3980232407,0.6001588417653556,0.9660509123705049,10439
249,11000.0,50.0,8.0,0.0,1980573.558593168,0.6147181215452888,0.938631678934048,11934
250,11000.0,50.0,11.0,0.30000000000000004,2903801.8792806324,0.6001499937820219,0.9649535168673401,10695
251,11000.0,50.0,9.0,0.0,2182692.604057559,0.6141601215468543,0.9426453344754498,11394
252,11000.0,50.0,6.0,0.30000000000000004,3002503.119647723,0.600093364462431,0.967985095602529,12378
253,11000.0,50.0,5.0,0.0,2517415.0908149104,0.603721962130732,0.9431094620321683,12744
254,11000.0,50.0,7.0,0.0,2993394.0155725596,0.6088261230067615,0.9483709633727969,12114
255,11000.0,50.0,13.0,0.30000000000000004,2376799.268416914,0.6001444306074237,0.9671224220225946,10264
256,11000.0,50.0,6.0,0.4,2615351.430711074,0.6000516374455287,0.9728174892154325,11804
257,11000.0,50.0,9.0,0.0,2633517.729768481,0.6217981209065466,0.9394159184227723,11544
258,11000.0,50.0,15.0,0.30000000000000004,2338694.3232842055,0.6001959879488619,0.9655294524273526,10098
259,11000.0,50.0,10.0,0.30000000000000004,2391266.4937660135,0.6001414777260226,0.9669889954536053,10855
260,11000.0,50.0,8.0,0.0,2541241.580386691,0.6009354794060183,0.9502693639322656,11094
261,11000.0,50.0,11.0,0.30000000000000004,2852404.8366237194,0.6001324692752674,0.9661695328510592,10775
262,11000.0,50.0,15.0,0.0,2747130.5437599663,0.6003357787802936,0.9438264452994424,10187
263,11000.0,50.0,9.0,0.30000000000000004,2092188.9793502148,0.6001175331246025,0.967769269600732,11109
264,11000.0,50.0,7.0,0.0,2476529.3428295683,0.6071324652826977,0.9434692137199469,11754
265,11000.0,50.0,10.0,0.2,2628524.559440178,0.6000640978903072,0.9614516712688981,10564
266,11000.0,50.0,7.0,0.0,1970249.0381567832,0.610611093159647,0.9404273562149771,12394
267,11000.0,45.0,6.0,0.0,2358256.887562705,0.6002959043346534,0.9456502262672065,13374
268,11000.0,50.0,7.0,0.0,2022513.073195416,0.6071852103675224,0.9462707128174463,11754
269,11000.0,50.0,8.0,0.0,2201344.3641035715,0.6024897380791244,0.9400848250637884,11664
270,11000.0,50.0,8.0,0.0,2121823.6880230205,0.6192470337839494,0.94834521605463,11934
271,11000.0,50.0,9.0,0.0,2050290.088058039,0.6080727791202484,0.9476957379952047,11214
272,11000.0,50.0,8.0,0.0,2533212.536862082,0.6163655672903492,0.9500645620463032,11304
