N,f,t,x,D,V,R,I,Cost,Pi,E,S,g1,g2,g3
5000.0,0.0,9.0,0.1,16850.0,5000.0,39375.0,3937.5,275000.0,1014375.0,4999.803125,0.85007875,1014375.0,0.9991721551027885,0.950404380399735
5000.0,0.0,9.0,0.2,16850.0,5000.0,39375.0,7875.0,275000.0,1014375.0,4999.60625,0.8501575,1014375.0,0.9991852690652034,0.9507784548327095
5000.0,0.0,9.0,0.30000000000000004,16850.0,5000.0,39375.0,11812.500000000002,275000.0,1014375.0,4999.409375,0.85023625,1014375.0,0.9991983830276184,0.9511525292656839
5000.0,0.0,9.0,0.4,16850.0,5000.0,39375.0,15750.0,275000.0,1014375.0,4999.2125,0.8503149999999999,1014375.0,0.9992114969900334,0.9515266036986579
5000.0,0.0,9.0,0.5,16850.0,5000.0,39375.0,19687.5,275000.0,1014375.0,4999.015625,0.85039375,1014375.0,0.9992246109524484,0.9519006781316325
5000.0,0.0,9.0,0.6000000000000001,16850.0,5000.0,39375.0,23625.000000000004,275000.0,1014375.0,4998.81875,0.8504725,1014375.0,0.9992377249148633,0.9522747525646069
5000.0,0.0,9.0,0.7000000000000001,16850.0,5000.0,39375.0,27562.500000000004,275000.0,1014375.0,4998.621875,0.85055125,1014375.0,0.9992508388772783,0.9526488269975815
5000.0,0.0,9.0,0.8,16850.0,5000.0,39375.0,31500.0,275000.0,1014375.0,4998.425,0.85063,1014375.0,0.9992639528396933,0.9530229014305559
5000.0,0.0,10.0,0.0,16500.0,5000.0,43749.99999999999,0.0,275000.0,1018750.0,5000.0,0.85,1018750.0,0.9991590411403736,0.9500303059667605
5000.0,0.0,10.0,0.1,16500.0,5000.0,43749.99999999999,4374.999999999999,275000.0,1018750.0,4999.78125,0.8500875,1018750.0,0.9991736122097234,0.9504459442256211
5000.0,0.0,10.0,0.2,16500.0,5000.0,43749.99999999999,8749.999999999998,275000.0,1018750.0,4999.5625,0.850175,1018750.0,0.9991881832790734,0.9508615824844816
5000.0,0.0,10.0,0.30000000000000004,16500.0,5000.0,43749.99999999999,13125.0,275000.0,1018750.0,4999.34375,0.8502625,1018750.0,0.9992027543484234,0.9512772207433422
5000.0,0.0,10.0,0.4,16500.0,5000.0,43749.99999999999,17499.999999999996,275000.0,1018750.0,4999.125,0.8503499999999999,1018750.0,0.9992173254177734,0.9516928590022021
5000.0,0.0,10.0,0.5,16500.0,5000.0,43749.99999999999,21874.999999999996,275000.0,1018750.0,4998.90625,0.8504375,1018750.0,0.9992318964871233,0.9521084972610627
5000.0,0.0,10.0,0.6000000000000001,16500.0,5000.0,43749.99999999999,26250.0,275000.0,1018750.0,4998.6875,0.850525,1018750.0,0.9992464675564733,0.9525241355199232
5000.0,0.0,10.0,0.7000000000000001,16500.0,5000.0,43749.99999999999,30624.999999999996,275000.0,1018750.0,4998.46875,0.8506125,1018750.0,0.9992610386258233,0.9529397737787838
